Class Nbr|Subject|Catalog|Section|Description|Capacity|Total Enrolled|Available Seats|Class Start Time|Class End Time|Meeting Days
9920|AC|202|D1|Financial Accounting|30|0|30|||
9919|AC|203|01|Managerial Accounting|71|2|69|9:30AM|10:45AM|MW
8931|AC|205|01|Intro Fin & Managerial Acct|45|4|41|2:30PM|3:45PM|MW
8932|AC|205|02|Intro Fin & Managerial Acct|55|5|50|4:00PM|5:15PM|MW
9923|AC|305|01|Cost Accounting|30|1|29|1:00PM|2:15PM|TR
8934|AC|312|01|Intermediate Financial Acct II|30|9|21|1:00PM|2:15PM|MW
8933|AC|407|01|Taxation of Business Entities|25|9|16|9:30AM|10:45AM|TR
9350|AC|603|01|Management Accounting|30|1|29|9:30AM|11:00AM|MW
9352|AC|603|02|Management Accounting|30|0|30|11:15AM|12:45PM|MW
9362|AC|603|10|Management Accounting|30|1|29|10:00AM|11:30AM|F
9363|AC|603|20|Management Accounting|30|0|30|11:45AM|1:15PM|F
8220|AE|301|10|Exp Methods in MAE|36|5|31|1:00PM|2:50PM|M
8221|AE|301|11|Exp Methods in MAE|36|3|33|1:00PM|2:50PM|M
8222|AE|301|20|Exp Methods in MAE|36|12|24|1:00PM|2:50PM|W
8223|AE|301|21|Exp Methods in MAE|36|5|31|1:00PM|2:50PM|W
8224|AE|301|30|Exp Methods in MAE|36|6|30|1:00PM|2:50PM|F
8225|AE|301|31|Exp Methods in MAE|36|6|30|1:00PM|2:50PM|F
8232|AE|350|01|Aircraft Struct Analysis|70|16|54|2:30PM|3:45PM|TR
8233|AE|430|01|Stability & Ctrl Aero Vehicles|64|20|44|10:00AM|10:50AM|MWF
8234|AE|431|01|Gas Dynamics|48|25|23|9:30AM|10:45AM|TR
8235|AE|443|01|Optimal Engineering|24|14|10|2:30PM|3:45PM|TR
9663|AE|450|01|Aircraft Design I|54|20|34|8:00AM|9:15AM|TR
8107|AE|455|01|Mech Vibratns & Ctrl|162|51|111|4:00PM|5:15PM|TR
9235|ANTH|201|01|Intro to Cultural Anthropology|25|4|21|1:00PM|2:15PM|MW
9826|ANTH|230|01|Intro to Race and Ethnicity|40|3|37|11:00AM|12:15PM|TR
8996|AS|101|01|The Air Force Today|25|0|25|9:00AM|9:50AM|M
8997|AS|101|02|The Air Force Today|25|0|25|4:00PM|4:50PM|M
8998|AS|103|01|Leadership Laboratory|86|2|84|5:30PM|8:30PM|M
8999|AS|201|01|The Development of Air Power|25|0|25|10:00AM|10:50AM|M
9518|AS|201|02|The Development of Air Power|30|0|30|3:00PM|3:50PM|M
9000|AS|203|01|Leadership Laboratory|86|2|84|5:30PM|8:30PM|M
9001|AS|301|01|Air Force Leadership & Mgt|25|1|24|11:00AM|12:15PM|TR
9002|AS|303|01|Leadership Laboratory|86|2|84|5:30PM|8:30PM|M
9003|AS|401|01|Natl Security Forces in Amer I|25|1|24|9:30AM|10:45AM|TR
9004|AS|403|01|Leadership Laboratory|86|2|84|5:30PM|8:30PM|M
8134|BR|200|01|Intro to Biomed & Rehab Eng|45|24|21|8:00AM|9:15AM|TR
8135|BR|450|01|BEST Capstone Design I|20|6|14|||
9949|BY|110|01|Biology and Society|70|0|70|8:00AM|8:50AM|MWF
9950|BY|110|02|Biology and Society|48|1|47|2:30PM|3:45PM|TR
8298|BY|112|10|Lab for Biology and Society|24|0|24|9:00AM|10:50AM|M
8299|BY|112|20|Lab for Biology and Society|24|1|23|11:00AM|12:50PM|M
8300|BY|112|30|Lab for Biology and Society|24|0|24|1:00PM|2:50PM|M
9951|BY|112|40|Lab for Biology and Society|24|0|24|9:00AM|10:50AM|M
